,Survived,Pclass,Sex,Age,Fare,Family_Size,Embarked_Q,Embarked_S,Cabin_availability
571,1,1,0,53.0,51.4792,3,0,1,1
572,1,1,1,36.0,26.3875,1,0,1,1
573,1,3,0,30.0,7.75,1,1,0,0
574,0,3,1,16.0,8.05,1,0,1,0
575,0,3,1,19.0,14.5,1,0,1,0
576,1,2,0,34.0,13.0,1,0,1,0
577,1,1,0,39.0,55.9,2,0,1,1
578,0,3,0,30.0,14.4583,2,0,0,0
579,1,3,1,32.0,7.925,1,0,1,0
580,1,2,0,25.0,30.0,3,0,1,0
581,1,1,0,39.0,110.8833,3,0,0,1
582,0,2,1,54.0,26.0,1,0,1,0
583,0,1,1,36.0,40.125,1,0,0,1
584,0,3,1,30.0,8.7125,1,0,0,0
585,1,1,0,18.0,79.65,3,0,1,1
586,0,2,1,47.0,15.0,1,0,1,0
587,1,1,1,60.0,79.2,3,0,0,1
588,0,3,1,22.0,8.05,1,0,1,0
589,0,3,1,30.0,8.05,1,0,1,0
590,0,3,1,35.0,7.125,1,0,1,0
591,1,1,0,52.0,78.2667,2,0,0,1
592,0,3,1,47.0,7.25,1,0,1,0
593,0,3,0,30.0,7.75,3,1,0,0
594,0,2,1,37.0,26.0,2,0,1,0
595,0,3,1,36.0,24.15,3,0,1,0
596,1,2,0,30.0,33.0,1,0,1,0
597,0,3,1,49.0,0.0,1,0,1,0
598,0,3,1,30.0,7.225,1,0,0,0
599,1,1,1,49.0,56.9292,2,0,0,1
600,1,2,0,24.0,27.0,4,0,1,0
601,0,3,1,30.0,7.8958,1,0,1,0
602,0,1,1,30.0,42.4,1,0,1,0
603,0,3,1,44.0,8.05,1,0,1,0
604,1,1,1,35.0,26.55,1,0,0,0
605,0,3,1,36.0,15.55,2,0,1,0
606,0,3,1,30.0,7.8958,1,0,1,0
607,1,1,1,27.0,30.5,1,0,1,0
608,1,2,0,22.0,41.5792,4,0,0,0
609,1,1,0,40.0,153.4625,1,0,1,1
610,0,3,0,39.0,31.275,7,0,1,0
611,0,3,1,30.0,7.05,1,0,1,0
612,1,3,0,30.0,15.5,2,1,0,0
613,0,3,1,30.0,7.75,1,1,0,0
614,0,3,1,35.0,8.05,1,0,1,0
615,1,2,0,24.0,65.0,4,0,1,0
616,0,3,1,34.0,14.4,3,0,1,0
617,0,3,0,26.0,16.1,2,0,1,0
618,1,2,0,4.0,39.0,4,0,1,1
619,0,2,1,26.0,10.5,1,0,1,0
620,0,3,1,27.0,14.4542,2,0,0,0
621,1,1,1,42.0,52.5542,2,0,1,1
622,1,3,1,20.0,15.7417,3,0,0,0
623,0,3,1,21.0,7.8542,1,0,1,0
624,0,3,1,21.0,16.1,1,0,1,0
625,0,1,1,61.0,32.3208,1,0,1,1
626,0,2,1,57.0,12.35,1,1,0,0
627,1,1,0,21.0,77.9583,1,0,1,1
628,0,3,1,26.0,7.8958,1,0,1,0
629,0,3,1,30.0,7.7333,1,1,0,0
630,1,1,1,80.0,30.0,1,0,1,1
631,0,3,1,51.0,7.0542,1,0,1,0
632,1,1,1,32.0,30.5,1,0,0,1
633,0,1,1,30.0,0.0,1,0,1,0
634,0,3,0,9.0,27.9,6,0,1,0
635,1,2,0,28.0,13.0,1,0,1,0
636,0,3,1,32.0,7.925,1,0,1,0
637,0,2,1,31.0,26.25,3,0,1,0
638,0,3,0,41.0,39.6875,6,0,1,0
639,0,3,1,30.0,16.1,2,0,1,0
640,0,3,1,20.0,7.8542,1,0,1,0
641,1,1,0,24.0,69.3,1,0,0,1
642,0,3,0,2.0,27.9,6,0,1,0
643,1,3,1,30.0,56.4958,1,0,1,0
644,1,3,0,0.75,19.2583,4,0,0,0
645,1,1,1,48.0,76.7292,2,0,0,1
646,0,3,1,19.0,7.8958,1,0,1,0
647,1,1,1,56.0,35.5,1,0,0,1
648,0,3,1,30.0,7.55,1,0,1,0
649,1,3,0,23.0,7.55,1,0,1,0
650,0,3,1,30.0,7.8958,1,0,1,0
651,1,2,0,18.0,23.0,2,0,1,0
652,0,3,1,21.0,8.4333,1,0,1,0
653,1,3,0,30.0,7.8292,1,1,0,0
654,0,3,0,18.0,6.75,1,1,0,0
655,0,2,1,24.0,73.5,3,0,1,0
656,0,3,1,30.0,7.8958,1,0,1,0
657,0,3,0,32.0,15.5,3,1,0,0
658,0,2,1,23.0,13.0,1,0,1,0
659,0,1,1,58.0,113.275,3,0,0,1
660,1,1,1,50.0,133.65,3,0,1,0
661,0,3,1,40.0,7.225,1,0,0,0
662,0,1,1,47.0,25.5875,1,0,1,1
663,0,3,1,36.0,7.4958,1,0,1,0
664,1,3,1,20.0,7.925,2,0,1,0
665,0,2,1,32.0,73.5,3,0,1,0
666,0,2,1,25.0,13.0,1,0,1,0
667,0,3,1,30.0,7.775,1,0,1,0
668,0,3,1,43.0,8.05,1,0,1,0
669,1,1,0,30.0,52.0,2,0,1,1
670,1,2,0,40.0,39.0,3,0,1,0
671,0,1,1,31.0,52.0,2,0,1,1
672,0,2,1,70.0,10.5,1,0,1,0
673,1,2,1,31.0,13.0,1,0,1,0
674,0,2,1,30.0,0.0,1,0,1,0
675,0,3,1,18.0,7.775,1,0,1,0
676,0,3,1,24.5,8.05,1,0,1,0
677,1,3,0,18.0,9.8417,1,0,1,0
678,0,3,0,43.0,46.9,8,0,1,0
679,1,1,1,36.0,512.3292,2,0,0,1
680,0,3,0,30.0,8.1375,1,1,0,0
681,1,1,1,27.0,76.7292,1,0,0,1
682,0,3,1,20.0,9.225,1,0,1,0
683,0,3,1,14.0,46.9,8,0,1,0
684,0,2,1,60.0,39.0,3,0,1,0
685,0,2,1,25.0,41.5792,4,0,0,0
686,0,3,1,14.0,39.6875,6,0,1,0
687,0,3,1,19.0,10.1708,1,0,1,0
688,0,3,1,18.0,7.7958,1,0,1,0
689,1,1,0,15.0,211.3375,2,0,1,1
690,1,1,1,31.0,57.0,2,0,1,1
691,1,3,0,4.0,13.4167,2,0,0,0
692,1,3,1,30.0,56.4958,1,0,1,0
693,0,3,1,25.0,7.225,1,0,0,0
694,0,1,1,60.0,26.55,1,0,1,0
695,0,2,1,52.0,13.5,1,0,1,0
696,0,3,1,44.0,8.05,1,0,1,0
697,1,3,0,30.0,7.7333,1,1,0,0
698,0,1,1,49.0,110.8833,3,0,0,1
699,0,3,1,42.0,7.65,1,0,1,1
700,1,1,0,18.0,227.525,2,0,0,1
701,1,1,1,35.0,26.2875,1,0,1,1
702,0,3,0,18.0,14.4542,2,0,0,0
703,0,3,1,25.0,7.7417,1,1,0,0
704,0,3,1,26.0,7.8542,2,0,1,0
705,0,2,1,39.0,26.0,1,0,1,0
706,1,2,0,45.0,13.5,1,0,1,0
707,1,1,1,42.0,26.2875,1,0,1,1
708,1,1,0,22.0,151.55,1,0,1,0
709,1,3,1,30.0,15.2458,3,0,0,0
710,1,1,0,24.0,49.5042,1,0,0,1
711,0,1,1,30.0,26.55,1,0,1,1
712,1,1,1,48.0,52.0,2,0,1,1
713,0,3,1,29.0,9.4833,1,0,1,0
714,0,2,1,52.0,13.0,1,0,1,0
715,0,3,1,19.0,7.65,1,0,1,1
716,1,1,0,38.0,227.525,1,0,0,1
717,1,2,0,27.0,10.5,1,0,1,1
718,0,3,1,30.0,15.5,1,1,0,0
719,0,3,1,33.0,7.775,1,0,1,0
720,1,2,0,6.0,33.0,2,0,1,0
721,0,3,1,17.0,7.0542,2,0,1,0
722,0,2,1,34.0,13.0,1,0,1,0
723,0,2,1,50.0,13.0,1,0,1,0
724,1,1,1,27.0,53.1,2,0,1,1
725,0,3,1,20.0,8.6625,1,0,1,0
726,1,2,0,30.0,21.0,4,0,1,0
727,1,3,0,30.0,7.7375,1,1,0,0
728,0,2,1,25.0,26.0,2,0,1,0
729,0,3,0,25.0,7.925,2,0,1,0
730,1,1,0,29.0,211.3375,1,0,1,1
731,0,3,1,11.0,18.7875,1,0,0,0
732,0,2,1,30.0,0.0,1,0,1,0
733,0,2,1,23.0,13.0,1,0,1,0
734,0,2,1,23.0,13.0,1,0,1,0
735,0,3,1,28.5,16.1,1,0,1,0
736,0,3,0,48.0,34.375,5,0,1,0
737,1,1,1,35.0,512.3292,1,0,0,1
738,0,3,1,30.0,7.8958,1,0,1,0
739,0,3,1,30.0,7.8958,1,0,1,0
740,1,1,1,30.0,30.0,1,0,1,1
741,0,1,1,36.0,78.85,2,0,1,1
742,1,1,0,21.0,262.375,5,0,0,1
743,0,3,1,24.0,16.1,2,0,1,0
744,1,3,1,31.0,7.925,1,0,1,0
745,0,1,1,70.0,71.0,3,0,1,1
746,0,3,1,16.0,20.25,3,0,1,0
747,1,2,0,30.0,13.0,1,0,1,0
748,0,1,1,19.0,53.1,2,0,1,1
749,0,3,1,31.0,7.75,1,1,0,0
750,1,2,0,4.0,23.0,3,0,1,0
751,1,3,1,6.0,12.475,2,0,1,1
752,0,3,1,33.0,9.5,1,0,1,0
753,0,3,1,23.0,7.8958,1,0,1,0
754,1,2,0,48.0,65.0,4,0,1,0
755,1,2,1,0.67,14.5,3,0,1,0
756,0,3,1,28.0,7.7958,1,0,1,0
757,0,2,1,18.0,11.5,1,0,1,0
758,0,3,1,34.0,8.05,1,0,1,0
759,1,1,0,33.0,86.5,1,0,1,1
760,0,3,1,30.0,14.5,1,0,1,0
761,0,3,1,41.0,7.125,1,0,1,0
762,1,3,1,20.0,7.2292,1,0,0,0
763,1,1,0,36.0,120.0,4,0,1,1
764,0,3,1,16.0,7.775,1,0,1,0
765,1,1,0,51.0,77.9583,2,0,1,1
766,0,1,1,30.0,39.6,1,0,0,0
767,0,3,0,30.5,7.75,1,1,0,0
768,0,3,1,30.0,24.15,2,1,0,0
769,0,3,1,32.0,8.3625,1,0,1,0
770,0,3,1,24.0,9.5,1,0,1,0
771,0,3,1,48.0,7.8542,1,0,1,0
772,0,2,0,57.0,10.5,1,0,1,1
773,0,3,1,30.0,7.225,1,0,0,0
774,1,2,0,54.0,23.0,5,0,1,0
775,0,3,1,18.0,7.75,1,0,1,0
776,0,3,1,30.0,7.75,1,1,0,1
777,1,3,0,5.0,12.475,1,0,1,0
778,0,3,1,30.0,7.7375,1,1,0,0
779,1,1,0,43.0,211.3375,2,0,1,1
780,1,3,0,13.0,7.2292,1,0,0,0
781,1,1,0,17.0,57.0,2,0,1,1
782,0,1,1,29.0,30.0,1,0,1,1
783,0,3,1,30.0,23.45,4,0,1,0
784,0,3,1,25.0,7.05,1,0,1,0
785,0,3,1,25.0,7.25,1,0,1,0
786,1,3,0,18.0,7.4958,1,0,1,0
787,0,3,1,8.0,29.125,6,1,0,0
788,1,3,1,1.0,20.575,4,0,1,0
789,0,1,1,46.0,79.2,1,0,0,1
790,0,3,1,30.0,7.75,1,1,0,0
791,0,2,1,16.0,26.0,1,0,1,0
792,0,3,0,30.0,69.55,11,0,1,0
793,0,1,1,30.0,30.6958,1,0,0,0
794,0,3,1,25.0,7.8958,1,0,1,0
795,0,2,1,39.0,13.0,1,0,1,0
796,1,1,0,49.0,25.9292,1,0,1,1
797,1,3,0,31.0,8.6833,1,0,1,0
798,0,3,1,30.0,7.2292,1,0,0,0
799,0,3,0,30.0,24.15,3,0,1,0
800,0,2,1,34.0,13.0,1,0,1,0
801,1,2,0,31.0,26.25,3,0,1,0
802,1,1,1,11.0,120.0,4,0,1,1
803,1,3,1,0.42,8.5167,2,0,0,0
804,1,3,1,27.0,6.975,1,0,1,0
805,0,3,1,31.0,7.775,1,0,1,0
806,0,1,1,39.0,0.0,1,0,1,1
807,0,3,0,18.0,7.775,1,0,1,0
808,0,2,1,39.0,13.0,1,0,1,0
809,1,1,0,33.0,53.1,2,0,1,1
810,0,3,1,26.0,7.8875,1,0,1,0
811,0,3,1,39.0,24.15,1,0,1,0
812,0,2,1,35.0,10.5,1,0,1,0
813,0,3,0,6.0,31.275,7,0,1,0
814,0,3,1,30.5,8.05,1,0,1,0
815,0,1,1,30.0,0.0,1,0,1,1
816,0,3,0,23.0,7.925,1,0,1,0
817,0,2,1,31.0,37.0042,3,0,0,0
818,0,3,1,43.0,6.45,1,0,1,0
819,0,3,1,10.0,27.9,6,0,1,0
820,1,1,0,52.0,93.5,3,0,1,1
821,1,3,1,27.0,8.6625,1,0,1,0
822,0,1,1,38.0,0.0,1,0,1,0
823,1,3,0,27.0,12.475,2,0,1,1
824,0,3,1,2.0,39.6875,6,0,1,0
825,0,3,1,30.0,6.95,1,1,0,0
826,0,3,1,30.0,56.4958,1,0,1,0
827,1,2,1,1.0,37.0042,3,0,0,0
828,1,3,1,30.0,7.75,1,1,0,0
829,1,1,0,62.0,80.0,1,0,1,1
830,1,3,0,15.0,14.4542,2,0,0,0
831,1,2,1,0.83,18.75,3,0,1,0
832,0,3,1,30.0,7.2292,1,0,0,0
833,0,3,1,23.0,7.8542,1,0,1,0
834,0,3,1,18.0,8.3,1,0,1,0
835,1,1,0,39.0,83.1583,3,0,0,1
836,0,3,1,21.0,8.6625,1,0,1,0
837,0,3,1,30.0,8.05,1,0,1,0
838,1,3,1,32.0,56.4958,1,0,1,0
839,1,1,1,30.0,29.7,1,0,0,1
840,0,3,1,20.0,7.925,1,0,1,0
841,0,2,1,16.0,10.5,1,0,1,0
842,1,1,0,30.0,31.0,1,0,0,0
843,0,3,1,34.5,6.4375,1,0,0,0
844,0,3,1,17.0,8.6625,1,0,1,0
845,0,3,1,42.0,7.55,1,0,1,0
846,0,3,1,30.0,69.55,11,0,1,0
847,0,3,1,35.0,7.8958,1,0,0,0
848,0,2,1,28.0,33.0,2,0,1,0
849,1,1,0,30.0,89.1042,2,0,0,1
850,0,3,1,4.0,31.275,7,0,1,0
851,0,3,1,74.0,7.775,1,0,1,0
852,0,3,0,9.0,15.2458,3,0,0,0
853,1,1,0,16.0,39.4,2,0,1,1
854,0,2,0,44.0,26.0,2,0,1,0
855,1,3,0,18.0,9.35,2,0,1,0
856,1,1,0,45.0,164.8667,3,0,1,0
857,1,1,1,51.0,26.55,1,0,1,1
858,1,3,0,24.0,19.2583,4,0,0,0
859,0,3,1,30.0,7.2292,1,0,0,0
860,0,3,1,41.0,14.1083,3,0,1,0
861,0,2,1,21.0,11.5,2,0,1,0
862,1,1,0,48.0,25.9292,1,0,1,1
863,0,3,0,30.0,69.55,11,0,1,0
864,0,2,1,24.0,13.0,1,0,1,0
865,1,2,0,42.0,13.0,1,0,1,0
866,1,2,0,27.0,13.8583,2,0,0,0
867,0,1,1,31.0,50.4958,1,0,1,1
868,0,3,1,30.0,9.5,1,0,1,0
869,1,3,1,4.0,11.1333,3,0,1,0
870,0,3,1,26.0,7.8958,1,0,1,0
871,1,1,0,47.0,52.5542,3,0,1,1
872,0,1,1,33.0,5.0,1,0,1,1
873,0,3,1,47.0,9.0,1,0,1,0
874,1,2,0,28.0,24.0,2,0,0,0
875,1,3,0,15.0,7.225,1,0,0,0
876,0,3,1,20.0,9.8458,1,0,1,0
877,0,3,1,19.0,7.8958,1,0,1,0
878,0,3,1,30.0,7.8958,1,0,1,0
879,1,1,0,56.0,83.1583,2,0,0,1
880,1,2,0,25.0,26.0,2,0,1,0
881,0,3,1,33.0,7.8958,1,0,1,0
882,0,3,0,22.0,10.5167,1,0,1,0
883,0,2,1,28.0,10.5,1,0,1,0
884,0,3,1,25.0,7.05,1,0,1,0
885,0,3,0,39.0,29.125,6,1,0,0
886,0,2,1,27.0,13.0,1,0,1,0
887,1,1,0,19.0,30.0,1,0,1,1
888,0,3,0,30.0,23.45,4,0,1,0
889,1,1,1,26.0,30.0,1,0,0,1
890,0,3,1,32.0,7.75,1,1,0,0
